host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
106,1000_to_1099,1049.5,10,10,1,1,1.2094394,1.2094394,1.4868769999999998,2.527421,1.1147432,1.1147432,1.2094394,1.2094394,1.4868769999999998,2.527421,1.1147432,1.1147432,1,0
108,1000_to_1099,1049.5,10,10,1,1,1.5340823000000001,1.5340823000000001,1.43107,3.3042279999999997,2.2196780666666664,2.2196780666666664,1.5340823000000001,1.5340823000000001,1.43107,3.3042279999999997,2.2196780666666664,2.2196780666666664,1,0
143,1000_to_1099,1049.5,10,10,1,7,1.7828641,1.7828641,1.951663,4.036191,2.6608931777777776,2.6608931777777776,1.7828641,1.7828641,1.951663,4.036191,2.6608931777777776,2.6608931777777776,1,0
167,1000_to_1099,1049.5,10,10,1,1,2.9764029,2.9764029,2.323869,6.440105000000001,4.672577888888889,4.672577888888889,2.9764029,2.9764029,2.323869,6.440105000000001,4.672577888888889,4.672577888888889,1,0
184,1000_to_1099,1049.5,10,10,1,1,1.2538665999999998,1.2538665999999998,1.632492,3.180543,2.1265615555555555,2.1265615555555555,1.2538665999999998,1.2538665999999998,1.632492,3.180543,2.1265615555555555,2.1265615555555555,1,0
210,1000_to_1099,1049.5,10,10,1,1,4.3470738,4.3470738,2.356368,9.416324,6.982483066666666,6.982483066666666,4.3470738,4.3470738,2.356368,9.416324,6.982483066666666,6.982483066666666,1,0
213,1000_to_1099,1049.5,10,10,2,2,5.334537599999999,3.9296225714285713,3.894703,11.764982,8.089684444444444,6.020437904761905,5.334537599999999,3.9296225714285713,3.894703,11.764982,8.089684444444444,6.020437904761905,0.7,0.3
214,1000_to_1099,1049.5,10,10,1,1,0.799826,0.799826,0.82232,1.8924480000000001,1.2481616,1.2481616,0.799826,0.799826,0.82232,1.8924480000000001,1.2481616,1.2481616,1,0
226,1000_to_1099,1049.5,10,10,1,1,0.9566191999999999,0.9566191999999999,0.92387300000000006,2.2308969999999997,1.3591681333333334,1.3591681333333334,0.9566191999999999,0.9566191999999999,0.92387300000000006,2.2308969999999997,1.3591681333333334,1.3591681333333334,1,0
264,1000_to_1099,1049.5,10,10,1,4,2.1967105000000005,2.1967105000000005,2.413015,5.2539929999999995,3.4709971333333334,3.4709971333333334,2.1967105000000005,2.1967105000000005,2.413015,5.2539929999999995,3.4709971333333334,3.4709971333333334,1,0
305,1000_to_1099,1049.5,10,10,1,1,1.7046543000000003,1.7046543000000003,1.632347,4.171036,2.625245488888889,2.625245488888889,1.7046543000000003,1.7046543000000003,1.632347,4.171036,2.625245488888889,2.625245488888889,1,0
353,1000_to_1099,1049.5,10,10,2,9,0.5885918,0.6323816666666667,0.480968,1.202892,0.8714973333333333,0.8826555,0.5885918,0.6323816666666667,0.480968,1.202892,0.8714973333333333,0.8826555,0.9,0.1
357,1000_to_1099,1049.5,10,10,1,8,1.6322074,1.6322074,2.27331,3.760461,2.070250533333333,2.070250533333333,1.6322074,1.6322074,2.27331,3.760461,2.070250533333333,2.070250533333333,1,0
36,1000_to_1099,1049.5,10,10,1,1,1.2019248999999999,1.2019248999999999,1.050794,2.617423,1.8554562444444445,1.8554562444444445,1.2019248999999999,1.2019248999999999,1.050794,2.617423,1.8554562444444445,1.8554562444444445,1,0
